"site","caldate","nObs"
"usda",2019-09-14,47
"usda",2019-09-15,48
"usda",2019-09-16,48
"usda",2019-09-17,48
"usda",2019-09-18,48
"usda",2019-09-19,48
"usda",2019-09-20,48
"usda",2019-09-21,48
"usda",2019-09-22,48
"usda",2019-09-23,49
"usda",2019-09-24,47
"usda",2019-09-25,48
"usda",2019-09-26,43
"usda",2019-09-27,46
"usda",2019-09-28,45
"usda",2019-09-29,49
"usda",2019-09-30,48
"usda",2019-10-01,49
"usda",2019-10-02,48
"usda",2019-10-03,48
"usda",2019-10-04,47
"usda",2019-10-05,47
"usda",2019-10-06,48
"usda",2019-10-07,48
"usda",2019-10-08,48
"usda",2019-10-09,47
"usda",2019-10-10,48
"usda",2019-10-11,48
"usda",2019-10-12,48
"usda",2019-10-13,48
"usda",2019-10-14,48
"usda",2019-10-15,48
"usda",2019-10-16,48
"usda",2019-10-17,47
"usda",2019-10-18,48
"usda",2019-10-19,47
"usda",2019-10-20,48
"usda",2019-10-21,48
"usda",2019-10-22,49
"usda",2019-10-23,47
"usda",2019-10-24,47
"usda",2019-10-25,48
"usda",2019-10-26,48
"usda",2019-10-27,48
"usda",2019-10-28,48
"usda",2019-10-29,48
"usda",2019-10-30,48
