"site2","Yr","Mnth.x","Julian","Hr","count","Mnth.y","degc_avg"
"A",2019,"Jun",157,10,0,"Jun",31.1333333333333
"A",2019,"Jun",157,11,0,"Jun",32.6777777777778
"A",2019,"Jun",157,12,0,"Jun",33.95
"A",2019,"Jun",157,13,0,"Jun",34.7111111111111
"A",2019,"Jun",157,14,0,"Jun",34.7611111111111
"A",2019,"Jun",157,15,0,"Jun",33.6777777777778
"A",2019,"Jun",157,16,0,"Jun",32.3722222222222
"A",2019,"Jun",157,17,0,"Jun",30.2055555555556
"A",2019,"Jun",157,18,0,"Jun",28.0722222222222
"A",2019,"Jun",157,19,0,"Jun",25.95
"A",2019,"Jun",157,20,0,"Jun",24.1
"A",2019,"Jun",157,21,0,"Jun",22.3111111111111
"A",2019,"Jun",157,22,0,"Jun",19.7888888888889
"A",2019,"Jun",157,23,0,"Jun",18.1
"A",2019,"Jun",158,0,0,"Jun",16.7666666666667
"A",2019,"Jun",158,1,0,"Jun",15.5
"A",2019,"Jun",158,2,0,"Jun",14.3111111111111
"A",2019,"Jun",158,3,2,"Jun",12.9444444444444
"A",2019,"Jun",158,4,5,"Jun",12.3777777777778
"A",2019,"Jun",158,5,1,"Jun",12.2722222222222
"A",2019,"Jun",158,6,0,"Jun",13.85
"A",2019,"Jun",158,7,0,"Jun",17.4
"A",2019,"Jun",158,8,0,"Jun",20.1166666666667
"A",2019,"Jun",158,9,0,"Jun",23.5166666666667
"A",2019,"Jun",158,10,0,"Jun",24.0166666666667
"A",2019,"Jun",158,11,0,"Jun",23.8
"A",2019,"Jun",158,12,0,"Jun",26.0277777777778
"A",2019,"Jun",158,13,0,"Jun",25.9666666666667
"A",2019,"Jun",158,14,0,"Jun",27.6277777777778
"A",2019,"Jun",158,15,0,"Jun",27.9833333333333
"A",2019,"Jun",158,16,0,"Jun",27.5388888888889
"A",2019,"Jun",158,17,0,"Jun",25.5944444444444
"A",2019,"Jun",158,18,0,"Jun",23.6277777777778
"A",2019,"Jun",158,19,0,"Jun",21.6388888888889
"A",2019,"Jun",158,20,0,"Jun",20.3722222222222
"A",2019,"Jun",158,21,0,"Jun",19.6944444444444
"A",2019,"Jun",158,22,0,"Jun",19.4055555555556
"A",2019,"Jun",158,23,0,"Jun",18.2833333333333
"A",2019,"Jun",159,0,0,"Jun",16.8777777777778
"A",2019,"Jun",159,1,0,"Jun",16.1222222222222
"A",2019,"Jun",159,2,0,"Jun",15.5444444444444
"A",2019,"Jun",159,3,0,"Jun",13.8222222222222
"A",2019,"Jun",159,4,1,"Jun",12.4777777777778
"A",2019,"Jun",159,5,0,"Jun",10.9444444444444
"A",2019,"Jun",159,6,0,"Jun",12.6333333333333
"A",2019,"Jun",159,7,0,"Jun",17.1777777777778
"A",2019,"Jun",159,8,0,"Jun",20.9944444444444
"A",2019,"Jun",159,9,0,"Jun",23.9055555555556
"A",2019,"Jun",159,10,0,"Jun",25.2944444444444
"A",2019,"Jun",159,11,0,"Jun",27.1
"A",2019,"Jun",159,12,0,"Jun",28.7888888888889
"A",2019,"Jun",159,13,0,"Jun",29.9611111111111
"A",2019,"Jun",159,14,0,"Jun",30.25
"A",2019,"Jun",159,15,0,"Jun",30.6111111111111
"A",2019,"Jun",159,16,0,"Jun",30.3777777777778
"A",2019,"Jun",159,17,0,"Jun",28.2611111111111
"A",2019,"Jun",159,18,0,"Jun",25.8722222222222
"A",2019,"Jun",159,19,0,"Jun",22.7944444444444
"A",2019,"Jun",159,20,0,"Jun",19.2
"A",2019,"Jun",159,21,0,"Jun",18.2444444444444
"A",2019,"Jun",159,22,0,"Jun",18.8166666666667
"A",2019,"Jun",159,23,0,"Jun",17.5166666666667
"A",2019,"Jun",160,0,0,"Jun",17.1833333333333
"A",2019,"Jun",160,1,0,"Jun",16.8611111111111
"A",2019,"Jun",160,2,0,"Jun",16.35
"A",2019,"Jun",160,3,0,"Jun",15.8055555555556
"A",2019,"Jun",160,4,0,"Jun",15.4777777777778
"A",2019,"Jun",160,5,4,"Jun",14.1277777777778
"A",2019,"Jun",160,6,1,"Jun",16
"A",2019,"Jun",160,7,1,"Jun",20.6222222222222
"A",2019,"Jun",160,8,0,"Jun",25.7666666666667
"A",2019,"Jun",160,9,0,"Jun",29.3
"A",2019,"Jun",160,10,0,"Jun",30.7944444444444
"A",2019,"Jun",160,11,0,"Jun",32.45
"A",2019,"Jun",160,12,0,"Jun",34.2111111111111
"A",2019,"Jun",160,13,0,"Jun",35.0444444444444
