"datetime","pest_nmbr","pest_dif","reviewed","event","site"
2019-05-07 05:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 06:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 07:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 08:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 09:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 10:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 11:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 12:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 13:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 14:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 15:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 16:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 17:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 18:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 20:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 21:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 22:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 23:01:00,3,0,"Yes",NA,"UCKearney"
2019-05-07 23:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 00:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 01:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 02:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 03:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 04:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 05:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 06:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 07:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 08:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 09:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 10:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 11:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 12:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 13:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 14:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 15:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 16:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 17:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 18:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 20:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 21:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-08 22:00:00,3,0,"Yes",NA,"UCKearney"
